user_id,current_opening,suggested_opening,change_percent_point,action,reason,unmet_ratio,peak_unmet_kw,required_peak_flow_kg_s,actual_peak_flow_kg_s,flow_adequacy_ratio,median_delta_t_c
1,,,,无阀直通,用户1为直通管，无阀门开度可调；本行仅用于观察流量、温差和缺冷情况,0.018018379816115215,1385.6657591685453,423.15518394648836,224.61581433356434,0.5308119168923355,9.52285044007084
3,0.4,0.4,0.0,非阀门优先,流量不低且ΔT偏低，继续开阀或加泵压意义有限，优先检查供水温度、冷源输出和负荷施加逻辑,0.11690464052357911,148.29945145855373,15.236502627806976,36.702197004357245,2.408833437758536,0.024482853084236922
4,0.75,0.75,0.0,非阀门优先,流量基本够但仍缺冷，优先检查供水温度、冷源能力或泵压差,0.026477377265066132,234.6406961770722,84.32011466794076,86.67011694075673,1.0278700080291692,3.793973059716677
6,0.9,0.9,0.0,非阀门优先,流量基本够但仍缺冷，优先检查供水温度、冷源能力或泵压差,0.029942352980182326,335.73305431486096,105.5977066411849,112.78434889562376,1.0680568023968424,3.581907774021346
