time_sec,pump_pressure
0.0,0.0
60.0,300000.0
3600.0,300000.0
7200.0,300000.0
10800.0,300000.0
14400.0,300000.0
18000.0,300000.0
21600.0,300000.0
25200.0,300000.0
28800.0,300000.0
32400.0,567246.5250783415
36000.0,850030.1129620393
39600.0,751188.6044528552
43200.0,657445.0805524951
46800.0,668198.1343880164
50400.0,715480.6895932733
54000.0,751302.7880103982
57600.0,733671.681954053
61200.0,542067.1261495998
64800.0,325430.23077922035
68400.0,300000.0
72000.0,300000.0
75600.0,300000.0
79200.0,300000.0
82800.0,300000.0
86400.0,300000.0
90000.0,300000.0
93600.0,300000.0
97200.0,300000.0
100800.0,300000.0
104400.0,300000.0
108000.0,300000.0
111600.0,300000.0
115200.0,300000.0
118800.0,349002.14181082917
122400.0,394290.6368450306
126000.0,488253.4441079795
129600.0,522310.7101277965
133200.0,454271.57120774715
136800.0,418761.71026133595
140400.0,404724.5412672086
144000.0,384364.969867379
147600.0,373184.5167065435
151200.0,300000.0
154800.0,300000.0
158400.0,300000.0
162000.0,300000.0
165600.0,300000.0
169200.0,300000.0
172800.0,300000.0
176400.0,300000.0
180000.0,300000.0
183600.0,300000.0
187200.0,300000.0
190800.0,300000.0
194400.0,300000.0
198000.0,300000.0
201600.0,300000.0
205200.0,300000.0
208800.0,300000.0
212400.0,300000.0
216000.0,300000.0
219600.0,361597.70204839855
223200.0,413448.9444140882
226800.0,358999.9174624067
230400.0,360404.5457296926
234000.0,336330.7928479417
237600.0,300000.0
241200.0,300000.0
244800.0,300000.0
248400.0,300000.0
252000.0,300000.0
255600.0,300000.0
259200.0,300000.0
262800.0,300000.0
266400.0,300000.0
270000.0,300000.0
273600.0,300000.0
277200.0,300000.0
280800.0,300000.0
284400.0,300000.0
288000.0,303077.15828085475
291600.0,847607.1603777149
295200.0,971490.0032882836
298800.0,1145754.7843521556
302400.0,1058883.1292778188
306000.0,1105188.3574618264
309600.0,1098248.941593315
313200.0,1064158.1742342543
316800.0,1035564.1426121835
320400.0,978475.7785582443
324000.0,628406.128685745
327600.0,300000.0
331200.0,300000.0
334800.0,300000.0
338400.0,300000.0
342000.0,300000.0
345600.0,300000.0
349200.0,300000.0
352800.0,300000.0
356400.0,300000.0
360000.0,300000.0
363600.0,300000.0
367200.0,300000.0
370800.0,300000.0
374400.0,384361.9449058678
378000.0,813504.6112924458
381600.0,947866.9789655462
385200.0,940750.1636672029
388800.0,927323.5552528695
392400.0,852831.9731740493
396000.0,924365.8268707677
399600.0,948994.7225456355
403200.0,908206.0190303732
406800.0,1080398.336187561
410400.0,488667.1994103019
414000.0,324265.9514755866
417600.0,300000.0
421200.0,300000.0
424800.0,300000.0
428400.0,300000.0
432000.0,300000.0
435600.0,300000.0
439200.0,300000.0
442800.0,300000.0
446400.0,300000.0
450000.0,300000.0
453600.0,300000.0
457200.0,300000.0
460800.0,353453.30684306344
464400.0,738885.4874347885
