day,hour_in_day,hour,sim_cooling_load_kw,Q_chiller1_kw,Q_chiller2_kw,Q_ice_discharge_kw,Q_ice_charge_kw,Tank_SOC_start_kWh,Tank_SOC_end_kWh,P_chiller_kw,P_ice_make_kw,P_pump_kw,P_total_kw,P_total_kva,P_target_kva,P_excess_kva,tou_price,hourly_energy_cost,solver_status
1,0,0,2294.2950248186335,2294.295,0.0,0.0,5016.0,0.0,5016.0,409.76870869798176,1183.0188679245282,95.88590049637267,1688.6734771188826,1986.6746789633914,2400.0,0.0,0.2203,372.0147670092898,Optimal
1,1,1,3031.9917008192465,3031.9917,0.0,0.0,5016.0,5016.0,10032.0,541.5237899624933,1183.0188679245282,110.63983401638492,1835.1824919034063,2159.0382257687133,2400.0,0.0,0.2203,404.2907029663204,Optimal
1,2,2,3257.2554310206265,3257.2554,0.0,0.0,5016.0,10032.0,15048.0,581.756635113413,1183.0188679245282,115.14510862041253,1879.9206116583537,2211.6713078333573,2400.0,0.0,0.2203,414.1465107483353,Optimal
1,3,3,3296.210411229811,3296.2104,0.0,0.0,5016.0,15048.0,20064.0,588.714127522772,1183.0188679245282,115.92420822459623,1887.6572036718965,2220.7731807904665,2400.0,0.0,0.2203,415.85088196891877,Optimal
1,4,4,3392.597657729562,3392.5977,0.0,0.0,5016.0,20064.0,25080.0,605.9292195034827,1183.0188679245282,117.85195315459124,1906.8000405826022,2243.2941653912967,2400.0,0.0,0.2203,420.06804894034724,Optimal
1,5,5,3547.7471454939323,3547.7471,0.0,0.0,5016.0,25080.0,30096.0,633.6394177531702,1183.0188679245282,120.95494290987865,1937.613228587577,2279.544974808914,2400.0,0.0,0.2203,426.8561942578432,Optimal
1,6,6,3948.3216916957717,3948.3217,0.0,0.0,5016.0,30096.0,35112.0,705.1833720307197,1183.0188679245282,128.96643383391543,2017.1686737891634,2373.139616222545,2400.0,0.0,0.2203,444.3822588357527,Optimal
1,7,7,4742.036438416033,4742.0364,0.0,0.0,4444.435,35112.0,39556.435,846.9434541882479,1048.2158018867924,144.84072876832067,2039.9999848433608,2399.9999821686597,2400.0,0.0,0.2203,449.4119966609924,Optimal
1,8,8,7069.303326862967,668.36333,0.0,6400.94,0.0,39556.435,33155.495,119.37191105554564,0.0,191.38606653725935,310.757977592805,365.59762069741765,2400.0,0.0,0.9564,297.2089297697587,Optimal
1,9,9,10075.920263999997,3674.9803,0.0,6400.94,0.0,33155.495,26754.555,656.3636899446329,0.0,251.51840527999994,907.8820952246328,1068.096582617215,2400.0,0.0,1.1477,1041.9762806893111,Optimal
1,10,10,11018.601786522775,4617.6618,0.0,6400.94,0.0,26754.555,20353.615,824.7297374531166,0.0,270.37203573045554,1095.1017731835723,1288.355027274791,2400.0,0.0,1.1477,1256.8483050827858,Optimal
1,11,11,10412.756227784095,7032.0,2834.096,546.66019,0.0,20353.615,19806.955,1781.744868434961,0.0,258.2551245556819,2039.999992990643,2399.999991753698,2400.0,0.0,0.2203,449.41199845583867,Optimal
1,12,12,10145.643704945158,7032.0,2862.8908,250.75294,0.0,19806.955,19556.202,1787.0871318857958,0.0,252.91287409890316,2040.0000059846989,2400.0000070408223,2400.0,0.0,0.2203,449.41200131842913,Optimal
1,13,13,10397.411954971403,7032.0,2835.7502,529.6618,0.0,19556.202,19026.54,1782.0517701047197,0.0,257.94823909942806,2040.0000092041478,2400.0000108284094,2400.0,0.0,0.5796,1182.384005334724,Optimal
1,14,14,10744.868928993874,7032.0,2798.2943,914.57464,0.0,19026.54,18111.965,1775.1026235370018,0.0,264.89737857987745,2040.0000021168794,2400.0000024904466,2400.0,0.0,0.5796,1182.3840012269434,Optimal
1,15,15,10847.412741767312,4446.4727,0.0,6400.94,0.0,18111.965,11711.025,794.1547954991963,0.0,266.94825483534623,1061.1030503345426,1248.3565298053443,2400.0,0.0,1.1477,1217.8279708689545,Optimal
1,16,16,10024.549934630568,3623.6099,0.0,6400.94,0.0,11711.025,5310.0855,647.1887658510448,0.0,250.49099869261136,897.6797645436561,1056.0938406395956,2400.0,0.0,1.1477,1030.267065766754,Optimal
1,17,17,8180.436247925853,2870.3508,0.0,5310.0855,0.0,5310.0855,0.0,512.6541882479014,0.0,213.60872495851706,726.2629132064185,854.4269567134336,2400.0,0.0,0.9564,694.5978501906187,Optimal
1,18,18,6783.075997642894,6783.076,0.0,0.0,0.0,0.0,0.0,1211.4799071262726,0.0,185.6615199528579,1397.1414270791304,1643.6957965636827,2400.0,0.0,0.9564,1336.2260608584804,Optimal
1,19,19,6328.196717584396,6328.1967,0.0,0.0,0.0,0.0,0.0,1130.2369530273263,0.0,176.56393435168792,1306.8008873790143,1537.4128086811934,2400.0,0.0,0.9564,1249.8243686892893,Optimal
1,20,20,6069.487934191496,6069.4879,0.0,0.0,0.0,0.0,0.0,1084.0307019110555,0.0,171.3897586838299,1255.4204605948855,1476.965247758689,2400.0,0.0,0.9564,1200.6841285129485,Optimal
1,21,21,5794.200196846008,5794.2002,0.0,0.0,0.0,0.0,0.0,1034.8634041793177,0.0,165.88400393692018,1200.747408116238,1412.6440095485152,2400.0,0.0,0.9564,1148.3948211223699,Optimal
1,22,22,5453.528531340209,5453.5285,0.0,0.0,0.0,0.0,0.0,974.0183068405073,0.0,159.07057062680417,1133.0888774673115,1333.045738196837,2400.0,0.0,0.9564,1083.6862024097368,Optimal
1,23,23,5144.063485977029,5144.0635,0.0,0.0,0.0,0.0,0.0,918.7468297910341,0.0,152.88126971954057,1071.6280995105747,1260.7389406006762,2400.0,0.0,0.5796,621.1156464763291,Optimal
2,0,24,4903.361736591409,4903.3617,0.0,0.0,4308.5865,0.0,4308.5865,875.7566886944097,1016.1760613207548,148.0672347318282,2039.9999847469926,2399.9999820552853,2400.0,0.0,0.2203,449.41199663976244,Optimal
2,1,25,4673.974835744366,4673.9748,0.0,0.0,4501.7482,4308.5865,8810.3348,834.7874263261297,1061.7330660377359,143.47949671488732,2039.9999890787528,2399.9999871514738,2400.0,0.0,0.2203,449.41199759404924,Optimal
2,2,26,4514.617931896514,4514.6179,0.0,0.0,4635.9392,8810.3348,13446.274,806.3257545990356,1093.3818867924526,140.2923586379303,2040.0000000294185,2400.00000003461,2400.0,0.0,0.2203,449.41200000648087,Optimal
2,3,27,4409.635401036472,4409.6354,0.0,0.0,4724.3427,13446.274,18170.617,787.575531344883,1114.2317688679245,138.19270802072944,2040.000008233537,2400.000009686514,2400.0,0.0,0.2203,449.41200181384824,Optimal
2,4,28,4364.642582508751,4364.6426,0.0,0.0,4762.2301,18170.617,22932.847,779.539667797821,1123.1674764150941,137.292851650175,2039.9999958630901,2399.9999951330474,2400.0,0.0,0.2203,449.41199908863877,Optimal
2,5,29,4426.474414486422,4426.4744,0.0,0.0,4710.1629,22932.847,27643.01,790.583032684408,1110.8874764150944,138.52948828972842,2039.9999973892309,2399.999996928507,2400.0,0.0,0.2203,449.4119994248476,Optimal
2,6,30,4597.7871677134735,4597.7872,0.0,0.0,4565.9042,27643.01,32208.914,821.1800678692623,1076.8641981132075,141.9557433542695,2040.0000093367394,2400.0000109843995,2400.0,0.0,0.2203,449.4120020568837,Optimal
2,7,31,5067.967701871044,5067.9677,0.0,0.0,4169.9755,32208.914,36378.889,905.1558671191284,983.484787735849,151.35935403742087,2040.0000088923982,2400.000010461645,2400.0,0.0,0.2203,449.41200195899535,Optimal
2,8,32,6075.661266833404,0.0,0.0,6075.6613,0.0,36378.889,30303.228,0.0,0.0,171.51322533666809,171.51322533666809,201.78026510196247,2400.0,0.0,0.9564,164.03524871198937,Optimal
2,9,33,7209.935835520947,808.99584,0.0,6400.94,0.0,30303.228,23902.288,144.48934452580818,0.0,194.19871671041895,338.6880612362271,398.45654263085544,2400.0,0.0,1.1477,388.7122878808178,Optimal
2,10,34,8108.64966172681,1707.7097,0.0,6400.94,0.0,23902.288,17501.348,305.00262546883374,0.0,212.17299323453622,517.17561870337,608.4419043569059,2400.0,0.0,1.1477,593.5624575858577,Optimal
2,11,35,8789.656171894923,7032.0,1757.6562,0.0,984.41162,17501.348,18485.76,1582.0343304015657,232.17255188679243,225.79312343789846,2040.0000057262566,2400.000006736773,2400.0,0.0,0.2203,449.4120012614943,Optimal
2,12,36,8669.969982688892,7032.0,1637.97,0.0,1088.7112,18485.76,19574.471,1559.8290984906196,256.77150943396225,223.39939965377783,2040.0000075783596,2400.0000089157174,2400.0,0.0,0.2203,449.4120016695126,Optimal
2,13,37,8193.57335928308,7032.0,1161.5734,0.0,1503.8632,19574.471,21078.334,1471.443829473922,354.68471698113206,213.8714671856616,2040.000013640716,2400.000016047901,2400.0,0.0,0.5796,1182.384007906159,Optimal
2,14,38,7963.553703654102,7032.0,931.5537,0.0,1704.3119,21078.334,22782.646,1428.7685604572243,401.96035377358487,209.27107407308205,2039.999988303891,2399.9999862398718,2400.0,0.0,0.5796,1182.3839932209353,Optimal
2,15,39,7801.456729802244,1400.5167,0.0,6400.94,0.0,22782.646,16381.706,250.13693516699408,0.0,206.02913459604488,456.166069763039,536.6659644271047,2400.0,0.0,1.1477,523.5417982670398,Optimal
2,16,40,7640.183317386076,1239.2433,0.0,6400.94,0.0,16381.706,9980.7659,221.33297017324523,0.0,202.80366634772153,424.13663652096676,498.9842782599609,2400.0,0.0,1.1477,486.7816177351135,Optimal
2,17,41,7159.297954615732,758.35795,0.0,6400.94,0.0,9980.7659,3579.8259,135.44524915163421,0.0,193.18595909231465,328.6312082439489,386.624950875234,2400.0,0.0,0.9564,314.30288756451273,Optimal
2,18,42,6539.229493104941,2959.4036,0.0,3579.8259,0.0,3579.8259,0.0,528.5593141632435,0.0,180.7845898620988,709.3439040253422,834.5222400298144,2400.0,0.0,0.9564,678.4165098098373,Optimal
2,19,43,6047.447334457896,6047.4473,0.0,0.0,0.0,0.0,0.0,1080.094177531702,0.0,170.94894668915794,1251.04312422086,1471.8154402598352,2400.0,0.0,0.9564,1196.4976440048304,Optimal
2,20,44,5555.23925537057,5555.2393,0.0,0.0,0.0,0.0,0.0,992.184193606001,0.0,161.10478510741143,1153.2889787134125,1356.81056319225,2400.0,0.0,0.9564,1103.0055792415078,Optimal
2,21,45,5287.515955237179,5287.516,0.0,0.0,0.0,0.0,0.0,944.3679228433648,0.0,155.7503191047436,1100.1182419481083,1294.2567552330686,2400.0,0.0,0.9564,1052.1530865991708,Optimal
2,22,46,5078.23722887374,5078.2372,0.0,0.0,0.0,0.0,0.0,906.9900339346311,0.0,151.5647445774748,1058.554778512106,1245.3585629554188,2400.0,0.0,0.9564,1012.4017901689781,Optimal
2,23,47,4868.406584344119,4868.4066,0.0,0.0,0.0,0.0,0.0,869.5135917128059,0.0,147.3681316868824,1016.8817233996883,1196.331439293751,2400.0,0.0,0.5796,589.3846468824594,Optimal
3,0,48,4591.654246242958,4591.6542,0.0,0.0,4571.0686,0.0,4571.0686,820.0846936953027,1078.082216981132,141.83308492485918,2039.999995601294,2399.9999948250515,2400.0,0.0,0.2203,449.41199903096503,Optimal
3,1,49,4405.855295162932,4405.8553,0.0,0.0,4727.5258,4571.0686,9298.5944,786.9003929273084,1114.9825,138.11710590325862,2039.9999988305672,2399.999998624197,2400.0,0.0,0.2203,449.41199974237395,Optimal
3,2,50,4372.488005841652,4372.488,0.0,0.0,4755.6237,9298.5944,14054.218,780.9408823004109,1121.6093632075472,137.44976011683303,2040.0000056247911,2400.0000066174016,2400.0,0.0,0.2203,449.4120012391415,Optimal
3,3,51,4377.874494774103,4377.8745,0.0,0.0,4751.0878,14054.218,18805.306,781.9029290944811,1120.539575471698,137.55748989548206,2039.9999944616613,2399.9999934843077,2400.0,0.0,0.2203,449.41199877990397,Optimal
3,4,52,4293.091660458772,4293.0917,0.0,0.0,4822.4816,18805.306,23627.787,766.7604393641722,1137.3777358490565,135.86183320917544,2040.0000084224043,2400.000009908711,2400.0,0.0,0.2203,449.4120018554557,Optimal
3,5,53,4376.206055763699,4376.2061,0.0,0.0,4752.4928,23627.787,28380.28,781.60494731202,1120.8709433962263,137.52412111527397,2040.0000118235205,2400.0000139100243,2400.0,0.0,0.2203,449.4120026047216,Optimal
3,6,54,4570.654820861534,4570.6548,0.0,0.0,4588.7517,28380.28,32969.032,816.3341310948384,1082.2527594339622,141.4130964172307,2039.9999869460314,2399.99998464239,2400.0,0.0,0.2203,449.4119971242107,Optimal
3,7,55,4689.845305543867,4689.8453,0.0,0.0,4488.384,32969.032,37457.416,837.6219503482764,1058.5811320754717,143.79690611087733,2039.9999885346256,2399.999986511324,2400.0,0.0,0.2203,449.411997474178,Optimal
3,8,56,5104.782127341593,0.0,0.0,5104.7821,0.0,37457.416,32352.634,0.0,0.0,152.09564254683187,152.09564254683187,178.93605005509633,2400.0,0.0,0.9564,145.46427253179002,Optimal
3,9,57,5611.19468876527,0.0,0.0,5611.1947,0.0,32352.634,26741.439,0.0,0.0,162.2238937753054,162.2238937753054,190.85163973565344,2400.0,0.0,1.1477,186.184362885918,Optimal
3,10,58,6039.695169595053,0.0,0.0,6039.6952,0.0,26741.439,20701.744,0.0,0.0,170.79390339190104,170.79390339190104,200.9340039904718,2400.0,0.0,1.1477,196.02016292288482,Optimal
3,11,59,6241.787492542297,6241.7875,0.0,0.0,3181.5275,20701.744,23883.272,1114.8039828540811,750.3602594339623,174.83574985084593,2039.9999921388894,2399.999990751635,2400.0,0.0,0.2203,449.41199826819735,Optimal
3,12,60,6746.303369730345,6746.3034,0.0,0.0,2756.6858,23883.272,26639.957,1204.912198606894,650.1617452830188,184.92606739460692,2040.0000112845196,2400.0000132759055,2400.0,0.0,0.2203,449.41200248597966,Optimal
3,13,61,7587.0132874133205,7032.0,555.01329,0.0,2032.4451,26639.957,28672.402,1358.9094862457216,479.3502594339622,201.7402657482664,2040.0000114279503,2400.0000134446473,2400.0,0.0,0.5796,1182.38400662364,Optimal
