hour,day,user3_flow_kg_s,user3_T_sup_C,user3_T_ret_C,user3_delta_T_C,user3_Q_sup_kw,user3_demand_kw,user3_Q_unmet_kw,user4_flow_kg_s,user4_T_sup_C,user4_T_ret_C,user4_delta_T_C,user4_Q_sup_kw,user4_demand_kw,user4_Q_unmet_kw,user6_flow_kg_s,user6_T_sup_C,user6_T_ret_C,user6_delta_T_C,user6_Q_sup_kw,user6_demand_kw,user6_Q_unmet_kw,total_Q_sup_kw,total_demand_kw,total_Q_unmet_kw
0,0.0,24.63970091719464,6.983134434456634,7.569814133135227,0.5866796986785934,60.51119312811291,63.751894514350646,3.2407013862377383,52.626921492507115,6.713546424431722,9.134243111472614,2.420696687040892,533.270507522422,573.7670506291557,40.496543106733725,68.70136452510597,6.763955768531533,9.239480828933345,2.4755250604018126,711.9211808820197,765.0227341722076,53.101553290187894,1305.7028815325548,1402.541679315714,96.83879778315918
1,0.041666666666666664,24.79182072491074,6.918501342927663,7.447634680852728,0.5291333379250647,54.91269668038186,54.31339494648041,0.0,52.951768616758976,6.811835530783225,8.948399226618294,2.1365636958350693,473.58238354827364,488.82055451832366,15.238170970050021,69.12527065664149,6.782233913676415,8.963836527602862,2.1816026139264464,631.2650046460484,651.7607393577648,20.49573471171641,1159.7600848747038,1194.894688822569,35.134603947865116
2,0.08333333333333333,24.792638505150816,6.888396512543696,7.377119726526008,0.4887232139823121,50.72066515639677,49.99122647819509,0.0,52.9534780743241,6.9397053139541365,8.907029476628331,1.9673241626741946,436.0834858388896,449.92103830375595,13.837552464866349,69.12749273404829,6.924242289994587,8.932938191601691,2.008695901607104,581.2516820828765,599.894717738341,18.643035655464473,1068.0558330781628,1099.806982520292,31.75114944212919
3,0.125,24.792978185504282,6.897612547867985,7.355658738193488,0.4580461903255024,47.53759405084709,45.93520482735407,0.0,52.95412294902249,6.998302392876275,8.837133593350279,1.8388312004740035,407.60628087546223,413.41684344618665,5.810562570724414,69.12829539828633,6.99171485686483,8.869186650644787,1.8774717937799572,543.2859740552866,551.2224579282488,7.936483872962185,998.4298489815959,1010.5745062017895,12.144657220193608
4,0.16666666666666666,24.793209858018237,6.92477029613722,7.353470983015872,0.4287006868786518,44.49243347810289,43.63747652149209,0.0,52.9545059601235,7.024686578722144,8.739922846999438,1.7152362682772937,380.2122417556606,392.7372886934288,12.525046937768195,69.12872687118278,7.020911577621495,8.772123325779624,1.7512117481581289,506.7531357136768,523.6497182579051,16.896582544228295,931.4578109474403,960.024483472826,28.566672525385684
5,0.20833333333333334,24.792307046321806,6.9544162466397355,7.448015214128888,0.49359896748915233,51.22599567066527,39.81213932670751,0.0,52.95279032139386,7.0001576294796,8.99093831494461,1.990780685465011,441.2772038049134,358.3092539403676,0.0,69.12669534080183,7.011077447046678,9.04403429259365,2.0329568455469724,588.2652294740732,477.7456719204901,0.0,1080.768428949652,875.8670651875652,0.0
6,0.25,24.79162202324562,6.965597332086258,7.597079131236005,0.6314817991497472,65.53374751902737,57.35436609191246,0.0,52.95181780372872,6.916589979936588,9.487236322272405,2.5706463423358175,569.7999808255884,516.1892948272122,0.0,69.1258013324114,6.926108344721513,9.5512593519519,2.6251510072303876,759.6152820343199,688.2523931029494,0.0,1394.9490103789358,1261.796054022074,0.0
7,0.2916666666666667,24.790708561177187,6.953861572388178,7.76463263989615,0.8107710675079725,84.13688057716162,68.47728596203889,0.0,52.95047901403565,6.8599749100160805,10.188112591613608,3.3281376815975277,737.6840639715413,616.29557365835,0.0,69.12447819210927,6.872327293488977,10.27160012803525,3.399272834546272,983.5968144137288,821.7274315444666,0.0,1805.4177589624317,1506.5002911648555,0.0
8,0.3333333333333333,25.54790946643848,6.921508020700308,8.035513082565078,1.1140050618647699,119.13565494931697,94.85059626608155,0.0,54.56867565143123,6.748295292969376,11.353326299411052,4.605031006441676,1051.9017958852846,853.6553663947341,0.0,71.2381555756054,6.766970350993452,11.470568572550276,4.703598221556824,1402.6267205978913,1138.207155192979,0.0,2573.6641714324933,2086.7131178537948,0.0
9,0.375,25.551729262593497,6.868921386888392,7.972276378198836,1.103354991310444,118.01434088542284,138.66398546153283,20.649644576109992,54.57688593004924,6.805831518665959,11.358473505146229,4.55264198648027,1040.0913276679723,1247.9758691537957,207.88454148582332,71.24884538821763,6.770997708310325,11.419796077703545,4.648798369393219,1386.4932670722956,1663.967825538394,277.4745584660984,2544.5989356256905,3050.6076801537224,506.0087445280319
10,0.4166666666666667,28.928897606955523,6.861652650997785,7.975797828377661,1.1141451773798758,134.91893148938416,91.93430493604023,0.0,61.79107968375024,6.962289809860932,11.541581414107025,4.579291604246093,1184.4679329212313,827.4087444243621,0.0,80.66979625178679,6.966471357078101,11.643208488545659,4.676737131467558,1579.2582123370844,1103.2116592324828,0.0,2898.6450767477,2022.5547085928852,0.0
11,0.4583333333333333,30.066288979861906,6.872891249994655,8.16368938103189,1.290798131037235,162.45660727949684,172.08933112340054,9.632723843903705,64.22111106365433,6.8535660783382895,12.16600107851992,5.312435000181631,1428.1396215991465,1548.803980110605,120.66435851145843,83.84343203597548,6.852621663624153,12.277567144310492,5.424945480686339,1903.985555709026,2065.0719734808063,161.08641777178036,3494.581784587669,3785.965284714812,291.3835001271427
12,0.5,28.949743317834297,6.875840180613709,8.165916212433546,1.2900760318198365,156.33609074328945,143.65455044062497,0.0,61.83603859117714,6.932150635115317,12.252363587004018,5.320212951888701,1377.114019798647,1292.890953965625,0.0,80.72882517511606,6.922031078280469,12.3549547085836,5.432923630303131,1835.952566562926,1723.8546052874995,0.0,3369.402677104862,3160.400109693749,0.0
13,0.5416666666666666,30.948567442272587,6.898649865396691,8.194534258201665,1.2958843928049744,167.8827345006819,161.00477681668625,0.0,66.10585006378157,6.982541842490175,12.30999931890175,5.327457476411576,1474.2091761865145,1449.0429913501764,0.0,86.30476033233599,6.9776690830074015,12.41777293924969,5.440103856242289,1965.3557138502877,1932.0573218002346,0.0,3607.447624537484,3542.1050899670972,0.0
14,0.5833333333333334,31.640772689970053,6.931809895214796,8.229390945504603,1.297581050289807,171.86237110910957,164.77640410040235,0.0,67.58450096439572,7.010121419454237,12.338485698037074,5.3283642785828365,1507.4407232728968,1482.9876369036213,0.0,88.23574560532285,7.007341910368117,12.448298247514083,5.440956337145966,2009.6435089501417,1977.3168492048285,0.0,3688.946603332148,3625.080890208852,0.0
15,0.625,29.37281997922081,6.963295171215364,8.252290217275954,1.28899504606059,158.48790178440098,168.21383978040575,9.725937996004774,62.73977307660803,7.021384957742302,12.333583939706507,5.3121989819642055,1395.135860176807,1513.9245580236523,118.78869784684525,81.90906024461813,7.021027859703757,12.445714682130864,5.424686822427107,1859.9695649382966,2018.5660773648688,158.5965124265722,3413.5933268995045,3700.704475168927,287.1111482694223
16,0.6666666666666666,28.244344122066604,6.985177204161474,8.273696491915523,1.288519287754049,152.34269776883374,140.30265371409553,0.0,60.32916604569968,7.023520776578231,12.343813118221112,5.320292341642881,1343.5753971794097,1262.7238834268594,0.0,78.7610829151131,7.022574060154634,12.455662724492646,5.433088664338012,1791.256153208887,1683.631844569146,0.0,3287.1742481571305,3086.658381710101,0.0
17,0.7083333333333334,27.384307761922116,7.001736910156609,8.251616392058706,1.2498794819020969,143.27457528885083,157.01678654791883,13.742211259068,58.49190430589182,7.043185280187331,12.206078569580722,5.1628932893933905,1264.1195085007166,1413.1510789312697,149.03157043055307,76.36178475500243,7.039010070263408,12.3113014730417,5.272291402778293,1685.2902191736398,1884.2014385750256,198.91121940138578,3092.6843029632073,3454.369304054214,361.6850010910066
18,0.75,24.794383657102564,7.019174102390516,8.105642707814177,1.0864686054236605,112.76380515186018,122.99553502672543,10.231729874865252,52.95909348584048,7.1148193806644,11.605691002061963,4.490871621397563,995.5668032676793,1106.959815240529,111.39301197284965,69.13637729672638,7.098408220382325,11.684295554179679,4.585887333797354,1327.1781522714125,1475.946420320705,148.7682680492926,2435.508760690952,2705.9017705879596,270.3930098970077
19,0.7916666666666666,24.794478774458305,7.0529520361232265,7.990267654301259,0.9373156181780322,97.28369570871227,97.41396417965015,0.13026847093787808,52.95894742676936,7.188300587579896,11.050914002800813,3.862613415220917,856.2879121327854,876.7256776168516,20.437765484066176,69.13593460628958,7.185308994160098,11.129847513311224,3.944538519151126,1141.5613688709266,1168.967570155802,27.40620128487535,2095.1329767124244,2143.1072119523037,47.97423523987936
20,0.8333333333333334,24.795516696070287,7.0925773393842695,7.837182792954658,0.7446054535703883,77.28560293777225,92.09421232351936,14.808609385747104,52.96068055398533,7.21568953087574,10.260430393535467,3.0447408626597268,674.9989807525897,828.8479109116741,153.8489301590845,69.13781497905482,7.2023722451924215,10.311087647030261,3.1087154018378396,899.6961020903236,1105.130547882232,205.43444579190827,1651.9806857806857,2026.0726711174254,374.09198533673975
